Date,Number,Date,delta
2020-01-23,1,2020-01-23,1
2020-01-24,2,2020-01-24,1
2020-01-25,2,2020-01-25,0
2020-01-26,5,2020-01-26,3
2020-01-27,5,2020-01-27,0
2020-01-28,5,2020-01-28,0
2020-01-29,6,2020-01-29,1
2020-01-30,6,2020-01-30,0
2020-01-31,8,2020-01-31,2
2020-02-01,8,2020-02-01,0
2020-02-02,8,2020-02-02,0
2020-02-03,11,2020-02-03,3
2020-02-04,11,2020-02-04,0
2020-02-05,11,2020-02-05,0
2020-02-06,12,2020-02-06,1
2020-02-07,12,2020-02-07,0
2020-02-08,12,2020-02-08,0
2020-02-09,12,2020-02-09,0
2020-02-10,12,2020-02-10,0
2020-02-11,13,2020-02-11,1
2020-02-12,13,2020-02-12,0
2020-02-13,14,2020-02-13,1
2020-02-14,14,2020-02-14,0
2020-02-15,14,2020-02-15,0
2020-02-16,14,2020-02-16,0
2020-02-17,15,2020-02-17,1
2020-02-18,16,2020-02-18,1
2020-02-19,16,2020-02-19,0
2020-02-20,16,2020-02-20,0
2020-02-21,16,2020-02-21,0
2020-02-22,16,2020-02-22,0
2020-02-23,16,2020-02-23,0
2020-02-24,17,2020-02-24,1
2020-02-25,18,2020-02-25,1
2020-02-26,19,2020-02-26,1
2020-02-27,19,2020-02-27,0
2020-02-28,19,2020-02-28,0
2020-02-29,26,2020-02-29,7
2020-03-01,39,2020-03-01,13
2020-03-02,57,2020-03-02,18
2020-03-03,79,2020-03-03,22
2020-03-04,113,2020-03-04,34
2020-03-05,184,2020-03-05,71
2020-03-06,247,2020-03-06,63
2020-03-07,417,2020-03-07,170
2020-03-08,538,2020-03-08,121
2020-03-09,630,2020-03-09,92
2020-03-10,797,2020-03-10,167
2020-03-11,1156,2020-03-11,359
2020-03-12,1596,2020-03-12,440
2020-03-13,2222,2020-03-13,626
2020-03-14,2952,2020-03-14,730
2020-03-15,3234,2020-03-15,282
2020-03-16,4667,2020-03-16,1433
2020-03-17,6450,2020-03-17,1783
2020-03-18,9156,2020-03-18,2706
2020-03-19,13663,2020-03-19,4507
2020-03-20,20064,2020-03-20,6401
2020-03-21,26056,2020-03-21,5992
2020-03-22,34944,2020-03-22,8888
2020-03-23,46096,2020-03-23,11152
2020-03-24,56714,2020-03-24,10618
2020-03-25,68841,2020-03-25,12127
2020-03-26,86662,2020-03-26,17821
2020-03-27,105253,2020-03-27,18591
2020-03-28,127417,2020-03-28,22164
2020-03-29,143544,2020-03-29,16127
2020-03-30,165698,2020-03-30,22154
2020-03-31,192079,2020-03-31,26381
2020-04-01,224281,2020-04-01,32202
2020-04-02,256626,2020-04-02,32345
2020-04-03,288993,2020-04-03,32367
2020-04-04,321379,2020-04-04,32386
2020-04-05,350713,2020-04-05,29334
2020-04-06,382646,2020-04-06,31933
2020-04-07,413222,2020-04-07,30576
2020-04-08,444341,2020-04-08,31119
2020-04-09,480413,2020-04-09,36072
2020-04-10,514690,2020-04-10,34277
2020-04-11,543878,2020-04-11,29188
2020-04-12,570812,2020-04-12,26934
2020-04-13,597803,2020-04-13,26991
2020-04-14,626217,2020-04-14,28414
2020-04-15,652179,2020-04-15,25962
2020-04-16,682442,2020-04-16,30263
2020-04-17,715446,2020-04-17,33004
2020-04-18,743379,2020-04-18,27933
2020-04-19,769251,2020-04-19,25872
2020-04-20,799039,2020-04-20,29788
2020-04-21,825257,2020-04-21,26218
2020-04-22,854328,2020-04-22,29071
2020-04-23,887581,2020-04-23,33253
2020-04-24,919920,2020-04-24,32339
2020-04-25,950298,2020-04-25,30378
2020-04-26,976871,2020-04-26,26573
2020-04-27,1000666,2020-04-27,23795
2020-04-28,1025354,2020-04-28,24688
2020-04-29,1051785,2020-04-29,26431
2020-04-30,1080942,2020-04-30,29157
2020-05-01,1115844,2020-05-01,34902
2020-05-02,1143248,2020-05-02,27404
2020-05-03,1167577,2020-05-03,24329
2020-05-04,1191815,2020-05-04,24238
2020-05-05,1216263,2020-05-05,24448
2020-05-06,1240643,2020-05-06,24380
2020-05-07,1268262,2020-05-07,27619
2020-05-08,1295396,2020-05-08,27134
2020-05-09,1320096,2020-05-09,24700
2020-05-10,1339110,2020-05-10,19014
2020-05-11,1358249,2020-05-11,19139
2020-05-12,1381136,2020-05-12,22887
2020-05-13,1401652,2020-05-13,20516
2020-05-14,1428388,2020-05-14,26736
2020-05-15,1453085,2020-05-15,24697
2020-05-16,1477370,2020-05-16,24285
2020-05-17,1496009,2020-05-17,18639
2020-05-18,1518223,2020-05-18,22214
2020-05-19,1539142,2020-05-19,20919
2020-05-20,1561937,2020-05-20,22795
2020-05-21,1587724,2020-05-21,25787
2020-05-22,1611383,2020-05-22,23659
2020-05-23,1632503,2020-05-23,21120
2020-05-24,1652809,2020-05-24,20306
2020-05-25,1671298,2020-05-25,18489
2020-05-26,1690282,2020-05-26,18984
2020-05-27,1709756,2020-05-27,19474
2020-05-28,1731479,2020-05-28,21723
2020-05-29,1756127,2020-05-29,24648
2020-05-30,1780340,2020-05-30,24213
2020-05-31,1799674,2020-05-31,19334
2020-06-01,1816679,2020-06-01,17005
2020-06-02,1837948,2020-06-02,21269
2020-06-03,1857728,2020-06-03,19780
2020-06-04,1879463,2020-06-04,21735
2020-06-05,1904375,2020-06-05,24912
2020-06-06,1925849,2020-06-06,21474
2020-06-07,1944117,2020-06-07,18268
2020-06-08,1960815,2020-06-08,16698
2020-06-09,1978823,2020-06-09,18008
2020-06-10,2000019,2020-06-10,21196
2020-06-11,2022421,2020-06-11,22402
2020-06-12,2047570,2020-06-12,25149
2020-06-13,2072696,2020-06-13,25126
2020-06-14,2092027,2020-06-14,19331
2020-06-15,2110610,2020-06-15,18583
2020-06-16,2134511,2020-06-16,23901
2020-06-17,2161726,2020-06-17,27215
2020-06-18,2190127,2020-06-18,28401
2020-06-19,2221812,2020-06-19,31685
2020-06-20,2254346,2020-06-20,32534
2020-06-21,2280413,2020-06-21,26067
2020-06-22,2311569,2020-06-22,31156
2020-06-23,2348835,2020-06-23,37266
2020-06-24,2385047,2020-06-24,36212
2020-06-25,2425307,2020-06-25,40260
2020-06-26,2471626,2020-06-26,46319
2020-06-27,2513324,2020-06-27,41698
2020-06-28,2555120,2020-06-28,41796
2020-06-29,2594820,2020-06-29,39700
2020-06-30,2643189,2020-06-30,48369
2020-07-01,2694755,2020-07-01,51566
2020-07-02,2751125,2020-07-02,56370
2020-07-03,2803742,2020-07-03,52617
2020-07-04,2852097,2020-07-04,48355
2020-07-05,2902901,2020-07-05,50804
2020-07-06,2945635,2020-07-06,42734
2020-07-07,3004763,2020-07-07,59128
2020-07-08,3064408,2020-07-08,59645
2020-07-09,3125361,2020-07-09,60953
2020-07-10,3193162,2020-07-10,67801
2020-07-11,3254420,2020-07-11,61258
2020-07-12,3314447,2020-07-12,60027
2020-07-13,3372312,2020-07-13,57865
2020-07-14,3439203,2020-07-14,66891
2020-07-15,3507141,2020-07-15,67938
2020-07-16,3583185,2020-07-16,76044
2020-07-17,3654728,2020-07-17,71543
2020-07-18,3719067,2020-07-18,64339
2020-07-19,3780322,2020-07-19,61255
2020-07-20,3840822,2020-07-20,60500
2020-07-21,3906368,2020-07-21,65546
2020-07-22,3976745,2020-07-22,70377
2020-07-23,4045477,2020-07-23,68732
2020-07-24,4119112,2020-07-24,73635
2020-07-25,4185260,2020-07-25,66148
2020-07-26,4241586,2020-07-26,56326
2020-07-27,4298445,2020-07-27,56859
2020-07-28,4361582,2020-07-28,63137
2020-07-29,4430540,2020-07-29,68958
2020-07-30,4498479,2020-07-30,67939
2020-07-31,4566893,2020-07-31,68414
2020-08-01,4625291,2020-08-01,58398
2020-08-02,4671745,2020-08-02,46454
2020-08-03,4716928,2020-08-03,45183
2020-08-04,4772196,2020-08-04,55268
2020-08-05,4827722,2020-08-05,55526
2020-08-06,4885263,2020-08-06,57541
2020-08-07,4945685,2020-08-07,60422
2020-08-08,5000791,2020-08-08,55106
2020-08-09,5048937,2020-08-09,48146
2020-08-10,5094834,2020-08-10,45897
2020-08-11,5147207,2020-08-11,52373
2020-08-12,5199935,2020-08-12,52728
2020-08-13,5251365,2020-08-13,51430
2020-08-14,5316662,2020-08-14,65297
2020-08-15,5366010,2020-08-15,49348
2020-08-16,5405920,2020-08-16,39910
2020-08-17,5441722,2020-08-17,35802
2020-08-18,5484630,2020-08-18,42908
2020-08-19,5529064,2020-08-19,44434
2020-08-20,5573641,2020-08-20,44577
2020-08-21,5622409,2020-08-21,48768
2020-08-22,5666754,2020-08-22,44345
2020-08-23,5701239,2020-08-23,34485
2020-08-24,5736144,2020-08-24,34905
2020-08-25,5776999,2020-08-25,40855
2020-08-26,5820948,2020-08-26,43949
2020-08-27,5866912,2020-08-27,45964
2020-08-28,5913422,2020-08-28,46510
2020-08-29,5957630,2020-08-29,44208
2020-08-30,5992432,2020-08-30,34802
2020-08-31,6025133,2020-08-31,32701
2020-09-01,6067946,2020-09-01,42813
2020-09-02,6108636,2020-09-02,40690
2020-09-03,6152970,2020-09-03,44334
2020-09-04,6203641,2020-09-04,50671
2020-09-05,6247027,2020-09-05,43386
2020-09-06,6278004,2020-09-06,30977
2020-09-07,6301844,2020-09-07,23840
2020-09-08,6327470,2020-09-08,25626
2020-09-09,6362070,2020-09-09,34600
2020-09-10,6398009,2020-09-10,35939
2020-09-11,6445976,2020-09-11,47967
2020-09-12,6487670,2020-09-12,41694
2020-09-13,6522112,2020-09-13,34442
2020-09-14,6555360,2020-09-14,33248
2020-09-15,6594822,2020-09-15,39462
2020-09-16,6633728,2020-09-16,38906
2020-09-17,6678930,2020-09-17,45202
2020-09-18,6728073,2020-09-18,49143
2020-09-19,6770652,2020-09-19,42579
2020-09-20,6809529,2020-09-20,38877
2020-09-21,6860252,2020-09-21,50723
2020-09-22,6900323,2020-09-22,40071
2020-09-23,6939234,2020-09-23,38911
2020-09-24,6986603,2020-09-24,47369
2020-09-25,7034970,2020-09-25,48367
2020-09-26,7079901,2020-09-26,44931
2020-09-27,7117963,2020-09-27,38062
2020-09-28,7150630,2020-09-28,32667
2020-09-29,7194194,2020-09-29,43564
2020-09-30,7233294,2020-09-30,39100
2020-10-01,7279272,2020-10-01,45978
2020-10-02,7334418,2020-10-02,55146
2020-10-03,7383899,2020-10-03,49481
2020-10-04,7419442,2020-10-04,35543
2020-10-05,7457757,2020-10-05,38315
2020-10-06,7503140,2020-10-06,45383
2020-10-07,7554267,2020-10-07,51127
2020-10-08,7613291,2020-10-08,59024
2020-10-09,7669967,2020-10-09,56676
2020-10-10,7725456,2020-10-10,55489
2020-10-11,7772121,2020-10-11,46665
2020-10-12,7813698,2020-10-12,41577
2020-10-13,7865263,2020-10-13,51565
2020-10-14,7924557,2020-10-14,59294
2020-10-15,7989616,2020-10-15,65059
2020-10-16,8058746,2020-10-16,69130
2020-10-17,8116053,2020-10-17,57307
